,,,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Brandon Schwab,NBA,39,177.1,44.0,38.5,220.2,+0.9,+0.3,-0.8,-1.0,.513,88.8,22.9,19.1,111.9,.487,88.3,21.1,19.4,108.3,+.026,+0.5,+1.8,-0.3,+3.6,-.067,+0.4,+1.7,-0.3,+1.8
Danielle Scott,NBA,33,176.6,42.5,37.4,226.0,+0.4,-1.2,-1.9,+4.8,.576,88.8,20.3,19.1,113.8,.424,87.8,22.2,18.2,112.3,+.152,+0.9,-1.8,+0.9,+1.5,+.059,+0.8,-1.9,+0.9,-0.3
Evan Scott,NBA,40,175.8,41.0,38.2,217.1,-0.4,-2.7,-1.1,-4.1,.550,88.0,20.1,19.5,110.4,.450,87.8,20.9,18.7,106.7,+.100,+0.3,-0.8,+0.8,+3.8,+.007,+0.2,-0.9,+0.8,+2.0
Kevin Scott,NBA,43,178.3,42.8,39.2,221.4,+2.1,-0.9,-0.1,+0.2,.581,89.7,21.5,19.6,112.6,.419,88.7,21.3,19.7,108.8,+.163,+1.0,+0.1,-0.1,+3.8,+.070,+0.9,0.0,-0.1,+2.0
Aaron Smith,NBA,54,174.2,42.8,37.8,214.9,-2.0,-0.9,-1.5,-6.3,.593,86.7,21.2,19.0,109.5,.407,87.5,21.6,18.8,105.4,+.185,-0.9,-0.4,+0.2,+4.2,+.092,-1.0,-0.5,+0.2,+2.4
Michael Smith,NBA,56,175.4,46.7,40.7,216.9,-0.8,+3.0,+1.4,-4.3,.643,88.7,22.9,20.5,111.2,.357,86.7,23.8,20.1,105.8,+.286,+2.0,-0.8,+0.4,+5.4,+.193,+1.9,-0.9,+0.4,+3.6
Jonathan Sterling,NBA,53,176.8,44.4,40.8,222.0,+0.6,+0.7,+1.5,+0.8,.679,89.1,22.5,20.4,113.8,.321,87.7,21.9,20.4,108.2,+.358,+1.5,+0.6,-0.1,+5.6,+.265,+1.4,+0.5,-0.1,+3.8
Ben Taylor,NBA,66,175.4,44.2,40.1,224.7,-0.8,+0.5,+0.8,+3.5,.545,87.7,22.5,20.0,113.6,.455,87.7,21.6,20.1,111.1,+.091,+0.1,+0.9,-0.1,+2.5,-.002,0.0,+0.8,-0.1,+0.7
Dedric Taylor,NBA,59,174.7,47.0,41.3,225.7,-1.5,+3.3,+2.0,+4.5,.678,86.1,24.6,20.2,114.9,.322,88.6,22.4,21.1,110.7,+.356,-2.5,+2.2,-0.9,+4.2,+.263,-2.6,+2.1,-0.9,+2.4
Josh Tiven,NBA,63,175.8,43.6,37.9,223.1,-0.4,-0.1,-1.4,+1.9,.524,88.1,21.7,19.0,111.8,.476,87.7,21.9,18.9,111.3,+.048,+0.4,-0.2,+0.1,+0.5,-.045,+0.3,-0.3,+0.1,-1.3
Scott Twardoski,NBA,53,176.2,43.5,39.6,219.1,0.0,-0.2,+0.3,-2.1,.547,86.5,22.6,19.7,110.2,.453,89.7,21.0,20.0,108.9,+.094,-3.2,+1.6,-0.3,+1.3,+.001,-3.3,+1.5,-0.3,-0.5
Justin Van Duyne,NBA,58,176.1,44.6,40.0,219.2,-0.1,+0.9,+0.7,-2.0,.517,88.3,22.1,20.1,109.8,.483,87.8,22.5,20.0,109.4,+.034,+0.5,-0.4,+0.1,+0.4,-.059,+0.4,-0.5,+0.1,-1.4
Scott Wall,NBA,47,176.7,43.1,38.8,222.7,+0.5,-0.6,-0.5,+1.5,.511,88.7,21.5,19.6,112.2,.489,88.0,21.6,19.2,110.6,+.021,+0.6,-0.1,+0.4,+1.6,-.072,+0.5,-0.2,+0.4,-0.2
C.J. Washington,NBA,39,175.9,41.3,37.7,218.5,-0.3,-2.4,-1.6,-2.7,.436,89.1,20.1,19.1,109.0,.564,86.8,21.2,18.6,109.5,-.128,+2.3,-1.2,+0.4,-0.5,-.221,+2.2,-1.3,+0.4,-2.3
Tom Washington,NBA,51,175.8,40.5,37.9,217.4,-0.4,-3.2,-1.4,-3.8,.510,87.5,21.1,18.4,109.3,.490,88.4,19.5,19.5,108.1,+.020,-0.9,+1.6,-1.0,+1.2,-.073,-1.0,+1.5,-1.0,-0.6
James Williams,NBA,60,175.5,44.3,39.3,223.5,-0.7,+0.6,0.0,+2.3,.583,87.4,22.5,19.6,112.7,.417,88.2,21.8,19.7,110.8,+.167,-0.8,+0.7,-0.2,+2.0,+.074,-0.9,+0.6,-0.2,+0.2
Leon Wood,NBA,52,176.0,41.0,38.9,223.4,-0.2,-2.7,-0.4,+2.2,.462,87.6,20.2,19.7,112.2,.538,88.4,20.8,19.1,111.3,-.077,-0.7,-0.6,+0.6,+0.9,-.170,-0.8,-0.7,+0.6,-0.9
Sean Wright,NBA,63,177.2,48.6,42.3,222.3,+1.0,+4.9,+3.0,+1.1,.492,88.7,24.3,21.3,111.0,.508,88.4,24.3,21.0,111.3,-.016,+0.3,0.0,+0.3,-0.2,-.109,+0.2,-0.1,+0.3,-2.0
Zach Zarba,NBA,61,178.0,39.7,36.9,223.4,+1.8,-4.0,-2.4,+2.2,.574,89.1,19.4,18.3,113.6,.426,88.9,20.3,18.7,109.8,+.148,+0.2,-1.0,-0.4,+3.8,+.055,+0.1,-1.1,-0.4,+2.0
